ID,Indikator,Zuercher_Daten,Minimalwert,Maximalwert,Messjahr,Stadt,Indexwert,zuerich_binary
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Zuerich,57.84353153,TRUE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Median_aller_Regionen,50.25422152,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Muenchen,42.38388047,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Dublin,52.38021619,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Amsterdam,46.91195687,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,London,38.28370102,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Stockholm,28.7506669,FALSE
H&A.1,Anteil der Bevölkerung zwischen 15 und 64 Jahren,Nein,28.7506669,52.38021619,2021,Median_der_5_Vergleichsregionen,42.38388047,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Zuerich,100,TRUE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Median_aller_Regionen,38.26438544,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Muenchen,88.14268927,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Dublin,90.39496485,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Amsterdam,100,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,London,100,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Stockholm,100,FALSE
H&A.2,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,Ja,88.14268927,100,2021,Median_der_5_Vergleichsregionen,100,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Zuerich,100,TRUE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Median_aller_Regionen,31.99806913,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Muenchen,29.71233114,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Dublin,52.94947316,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Amsterdam,76.18623805,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,London,58.66325245,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Stockholm,100,FALSE
H&A.3,Anteil Bevölkerung beteiligt an lebenslangem Lernen,Ja,29.71233114,100,2021,Median_der_5_Vergleichsregionen,58.66325245,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Zuerich,100,TRUE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Median_aller_Regionen,62.5,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Muenchen,85,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Dublin,76.66666667,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Amsterdam,86.66666667,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,London,55,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Stockholm,98.33333333,FALSE
H&A.4,Attraktivität für internationale Talente,Nein,55,98.33333333,2022,Median_der_5_Vergleichsregionen,85,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Zuerich,93.50348028,TRUE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Median_aller_Regionen,66.82134571,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Muenchen,88.63109049,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Dublin,69.60556845,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Amsterdam,90.25522042,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,London,78.88714777,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Stockholm,86.31090487,FALSE
H&A.5,Erwerbstätigenquote,Ja,69.60556845,90.25522042,2021,Median_der_5_Vergleichsregionen,86.31090487,FALSE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,Zuerich,8.928571429,TRUE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,Median_aller_Regionen,21.42857143,FALSE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,Muenchen,10.71428571,FALSE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,Dublin,17.85714286,FALSE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,Amsterdam,26.78571429,FALSE
H&A.6,Rekrutierungsschwierigkeiten,Nein,10.71428571,26.78571429,2021,London,19.64285714,FALSE
